Lat,Lon,Date,Vendor_Count,Stall_Count,Image_File,Nighttime_Radiance
-23.579999999999995,-46.696000000000005,2025-05,0,0,sp_macro_images/macro_-23.58000_-46.69600_2025-05.jpg,43.35
-23.579999999999995,-46.69200000000001,2024-01,0,1,sp_macro_images/macro_-23.58000_-46.69200_2024-01.jpg,73.09
-23.579999999999995,-46.676000000000016,2024-04,1,0,sp_macro_images/macro_-23.58000_-46.67600_2024-04.jpg,76.15
-23.579999999999995,-46.67200000000002,2024-04,0,0,sp_macro_images/macro_-23.58000_-46.67200_2024-04.jpg,83.8
-23.579999999999995,-46.660000000000025,2024-02,0,0,sp_macro_images/macro_-23.58000_-46.66000_2024-02.jpg,87.42
-23.579999999999995,-46.65600000000003,2024-02,0,1,sp_macro_images/macro_-23.58000_-46.65600_2024-02.jpg,99.12
-23.579999999999995,-46.65200000000003,2024-04,0,1,sp_macro_images/macro_-23.58000_-46.65200_2024-04.jpg,105.65
-23.579999999999995,-46.64800000000003,2025-06,0,0,sp_macro_images/macro_-23.58000_-46.64800_2025-06.jpg,105.65
-23.579999999999995,-46.644000000000034,2024-02,0,0,sp_macro_images/macro_-23.58000_-46.64400_2024-02.jpg,102.58
-23.579999999999995,-46.64000000000004,2024-07,0,0,sp_macro_images/macro_-23.58000_-46.64000_2024-07.jpg,103.06
-23.579999999999995,-46.63600000000004,2024-02,1,0,sp_macro_images/macro_-23.58000_-46.63600_2024-02.jpg,94.16
-23.579999999999995,-46.62000000000005,2024-07,0,0,sp_macro_images/macro_-23.58000_-46.62000_2024-07.jpg,64.12
-23.579999999999995,-46.61600000000005,2025-01,0,1,sp_macro_images/macro_-23.58000_-46.61600_2025-01.jpg,71.44
-23.579999999999995,-46.604000000000056,2024-02,0,0,sp_macro_images/macro_-23.58000_-46.60400_2024-02.jpg,89.83
-23.579999999999995,-46.60000000000006,2025-06,0,0,sp_macro_images/macro_-23.58000_-46.60000_2025-06.jpg,94.29
-23.579999999999995,-46.59600000000006,2024-01,0,0,sp_macro_images/macro_-23.58000_-46.59600_2024-01.jpg,92.12
-23.579999999999995,-46.59200000000006,2024-04,0,0,sp_macro_images/macro_-23.58000_-46.59200_2024-04.jpg,78.89
-23.579999999999995,-46.58800000000007,2023-03,0,0,sp_macro_images/macro_-23.58000_-46.58800_2023-03.jpg,76.64
-23.579999999999995,-46.58400000000007,2024-04,1,0,sp_macro_images/macro_-23.58000_-46.58400_2024-04.jpg,84.34
-23.579999999999995,-46.57600000000007,2024-01,0,0,sp_macro_images/macro_-23.58000_-46.57600_2024-01.jpg,76.55
-23.579999999999995,-46.57200000000008,2024-09,1,0,sp_macro_images/macro_-23.58000_-46.57200_2024-09.jpg,75.19
-23.579999999999995,-46.56800000000008,2023-03,0,1,sp_macro_images/macro_-23.58000_-46.56800_2023-03.jpg,72.96
-23.579999999999995,-46.55600000000008,2024-01,0,0,sp_macro_images/macro_-23.58000_-46.55600_2024-01.jpg,82.01
-23.579999999999995,-46.552000000000085,2024-01,0,0,sp_macro_images/macro_-23.58000_-46.55200_2024-01.jpg,73.69
-23.575999999999997,-46.696000000000005,2025-09,0,1,sp_macro_images/macro_-23.57600_-46.69600_2025-09.jpg,57.96
-23.575999999999997,-46.69200000000001,2024-04,1,0,sp_macro_images/macro_-23.57600_-46.69200_2024-04.jpg,75.72
-23.575999999999997,-46.68400000000001,2024-07,0,0,sp_macro_images/macro_-23.57600_-46.68400_2024-07.jpg,66.77
-23.575999999999997,-46.680000000000014,2024-04,0,3,sp_macro_images/macro_-23.57600_-46.68000_2024-04.jpg,62.52
-23.575999999999997,-46.676000000000016,2024-04,0,1,sp_macro_images/macro_-23.57600_-46.67600_2024-04.jpg,67.07
-23.575999999999997,-46.67200000000002,2024-07,0,1,sp_macro_images/macro_-23.57600_-46.67200_2024-07.jpg,74.69
