Lat,Lon,Date,Vendor_Count,Stall_Count,Merch_Count,Image_File
-23.540667,-46.631333000000005,2025-06,0,1,0,sp_full_scan_images/sp_-23.540667_-46.631333_2025-06.jpg
-23.540667,-46.630333,2024-07,0,2,0,sp_full_scan_images/sp_-23.540667_-46.630333_2024-07.jpg
-23.540667,-46.629333,2025-06,0,2,0,sp_full_scan_images/sp_-23.540667_-46.629333_2025-06.jpg
-23.540667,-46.626833000000005,2024-07,0,1,0,sp_full_scan_images/sp_-23.540667_-46.626833_2024-07.jpg
-23.540667,-46.626333,2023-01,0,0,1,sp_full_scan_images/sp_-23.540667_-46.626333_2023-01.jpg
-23.540667,-46.625333000000005,2023-01,0,1,0,sp_full_scan_images/sp_-23.540667_-46.625333_2023-01.jpg
-23.540167,-46.634333000000005,2023-01,1,0,0,sp_full_scan_images/sp_-23.540167_-46.634333_2023-01.jpg
-23.540167,-46.633333,2024-07,0,1,0,sp_full_scan_images/sp_-23.540167_-46.633333_2024-07.jpg
-23.540167,-46.630833,2024-01,0,1,0,sp_full_scan_images/sp_-23.540167_-46.630833_2024-01.jpg
-23.540167,-46.630333,2024-07,0,1,0,sp_full_scan_images/sp_-23.540167_-46.630333_2024-07.jpg
-23.540167,-46.628833,2024-07,1,1,0,sp_full_scan_images/sp_-23.540167_-46.628833_2024-07.jpg
-23.540167,-46.625333000000005,2023-01,0,1,0,sp_full_scan_images/sp_-23.540167_-46.625333_2023-01.jpg
-23.539667,-46.633333,2024-07,0,1,0,sp_full_scan_images/sp_-23.539667_-46.633333_2024-07.jpg
-23.539667,-46.632833000000005,2024-07,0,1,0,sp_full_scan_images/sp_-23.539667_-46.632833_2024-07.jpg
-23.539667,-46.632333,2025-06,0,2,0,sp_full_scan_images/sp_-23.539667_-46.632333_2025-06.jpg
-23.539667,-46.631833,2025-06,0,0,1,sp_full_scan_images/sp_-23.539667_-46.631833_2025-06.jpg
-23.539667,-46.630833,2024-12,0,1,0,sp_full_scan_images/sp_-23.539667_-46.630833_2024-12.jpg
-23.539667,-46.630333,2024-12,0,3,0,sp_full_scan_images/sp_-23.539667_-46.630333_2024-12.jpg
-23.539667,-46.629833000000005,2024-12,1,0,0,sp_full_scan_images/sp_-23.539667_-46.629833_2024-12.jpg
-23.539667,-46.627333,2025-01,1,1,0,sp_full_scan_images/sp_-23.539667_-46.627333_2025-01.jpg
-23.539667,-46.626833000000005,2024-07,0,1,0,sp_full_scan_images/sp_-23.539667_-46.626833_2024-07.jpg
-23.539667,-46.625833,2024-12,0,2,0,sp_full_scan_images/sp_-23.539667_-46.625833_2024-12.jpg
-23.539167,-46.633333,2024-07,0,4,0,sp_full_scan_images/sp_-23.539167_-46.633333_2024-07.jpg
-23.539167,-46.632833000000005,2024-12,3,3,0,sp_full_scan_images/sp_-23.539167_-46.632833_2024-12.jpg
-23.539167,-46.630333,2024-01,0,1,0,sp_full_scan_images/sp_-23.539167_-46.630333_2024-01.jpg
-23.539167,-46.629333,2024-01,0,2,0,sp_full_scan_images/sp_-23.539167_-46.629333_2024-01.jpg
-23.539167,-46.628833,2024-02,1,2,0,sp_full_scan_images/sp_-23.539167_-46.628833_2024-02.jpg
-23.539167,-46.628333000000005,2025-10,0,1,0,sp_full_scan_images/sp_-23.539167_-46.628333_2025-10.jpg
-23.539167,-46.627333,2023-03,1,0,0,sp_full_scan_images/sp_-23.539167_-46.627333_2023-03.jpg
-23.539167,-46.624333,2024-12,0,1,0,sp_full_scan_images/sp_-23.539167_-46.624333_2024-12.jpg
-23.538667,-46.634333000000005,2024-04,0,1,0,sp_full_scan_images/sp_-23.538667_-46.634333_2024-04.jpg
-23.538667,-46.633833,2024-05,0,2,0,sp_full_scan_images/sp_-23.538667_-46.633833_2024-05.jpg
-23.538667,-46.633333,2024-01,1,0,0,sp_full_scan_images/sp_-23.538667_-46.633333_2024-01.jpg
-23.538667,-46.627833,2025-06,0,2,0,sp_full_scan_images/sp_-23.538667_-46.627833_2025-06.jpg
-23.538667,-46.627333,2025-06,0,0,1,sp_full_scan_images/sp_-23.538667_-46.627333_2025-06.jpg
-23.538167,-46.633833,2024-05,0,1,0,sp_full_scan_images/sp_-23.538167_-46.633833_2024-05.jpg
-23.538167,-46.631333000000005,2024-01,0,2,0,sp_full_scan_images/sp_-23.538167_-46.631333_2024-01.jpg
-23.538167,-46.628833,2025-10,0,1,0,sp_full_scan_images/sp_-23.538167_-46.628833_2025-10.jpg
-23.538167,-46.628333000000005,2025-10,0,2,0,sp_full_scan_images/sp_-23.538167_-46.628333_2025-10.jpg
-23.538167,-46.626333,2025-01,0,0,1,sp_full_scan_images/sp_-23.538167_-46.626333_2025-01.jpg
-23.538167,-46.625833,2025-01,0,1,0,sp_full_scan_images/sp_-23.538167_-46.625833_2025-01.jpg
